"entry","gender","age","marital_status","highest_qualification","nationality","ethnicity","gross_income","region","smoke","amt_weekends","amt_weekdays","type"
"1358","Female",16,"Single","GCSE/O Level","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1359","Female",73,"Widowed","No Qualification","British","White","10,400 to 15,600","South West","No",NA,NA,""
"1360","Male",52,"Married","Degree","Scottish","White","Above 36,400","South West","No",NA,NA,""
"1361","Male",72,"Single","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1362","Male",79,"Married","No Qualification","British","White","10,400 to 15,600","South West","No",NA,NA,""
"1363","Female",90,"Widowed","No Qualification","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1364","Male",27,"Single","Higher/Sub Degree","English","White","20,800 to 28,600","South West","Yes",30,10,"Packets"
"1365","Male",32,"Divorced","Degree","English","White","Above 36,400","South West","No",NA,NA,""
"1366","Female",38,"Divorced","GCSE/O Level","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1367","Female",21,"Single","Degree","British","White","Under 2,600","South West","No",NA,NA,""
"1368","Male",40,"Married","A Levels","British","White","Above 36,400","South West","No",NA,NA,""
"1369","Male",28,"Married","Degree","British","White","Above 36,400","South West","No",NA,NA,""
"1370","Male",47,"Married","A Levels","English","White","Above 36,400","South West","Yes",40,40,"Packets"
"1371","Female",45,"Married","Degree","British","White","5,200 to 10,400","South West","No",NA,NA,""
"1372","Female",95,"Widowed","No Qualification","British","White","5,200 to 10,400","South West","No",NA,NA,""
"1373","Male",18,"Single","A Levels","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1374","Female",89,"Widowed","GCSE/O Level","English","White","Unknown","South West","No",NA,NA,""
"1375","Female",82,"Widowed","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1376","Male",65,"Married","A Levels","English","White","28,600 to 36,400","South West","No",NA,NA,""
"1377","Female",87,"Widowed","GCSE/O Level","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1378","Male",30,"Single","Higher/Sub Degree","English","White","20,800 to 28,600","South West","Yes",4,1,"Packets"
"1379","Female",77,"Widowed","Degree","English","White","28,600 to 36,400","South West","No",NA,NA,""
"1380","Female",55,"Divorced","Degree","British","White","Above 36,400","South West","No",NA,NA,""
"1381","Female",33,"Married","Degree","British","Asian","5,200 to 10,400","South West","No",NA,NA,""
"1382","Female",56,"Married","No Qualification","British","Black","5,200 to 10,400","South West","No",NA,NA,""
"1383","Female",68,"Divorced","No Qualification","English","White","2,600 to 5,200","South West","Yes",15,10,"Packets"
"1384","Female",73,"Married","No Qualification","British","White","2,600 to 5,200","South West","No",NA,NA,""
"1385","Female",66,"Single","GCSE/O Level","English","White","10,400 to 15,600","South West","No",NA,NA,""
"1386","Female",73,"Married","Other/Sub Degree","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1387","Male",42,"Married","Higher/Sub Degree","English","White","20,800 to 28,600","South West","Yes",12,0,"Packets"
"1388","Male",41,"Single","No Qualification","Welsh","White","Refused","South West","No",NA,NA,""
"1389","Female",35,"Married","GCSE/CSE","British","White","10,400 to 15,600","South West","No",NA,NA,""
"1390","Female",53,"Married","No Qualification","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1391","Female",74,"Divorced","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1392","Male",46,"Married","No Qualification","English","White","10,400 to 15,600","South West","Yes",25,25,"Hand-Rolled"
"1393","Female",22,"Single","GCSE/CSE","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1394","Male",27,"Married","A Levels","English","White","15,600 to 20,800","South West","No",NA,NA,""
"1395","Female",71,"Married","GCSE/O Level","British","White","5,200 to 10,400","South West","No",NA,NA,""
"1396","Male",78,"Widowed","Other/Sub Degree","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1397","Female",38,"Married","GCSE/O Level","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1398","Female",31,"Married","A Levels","British","White","10,400 to 15,600","South West","No",NA,NA,""
"1399","Female",54,"Married","Degree","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1400","Female",31,"Single","GCSE/CSE","English","White","10,400 to 15,600","South West","No",NA,NA,""
"1401","Male",53,"Married","ONC/BTEC","English","Mixed","Above 36,400","South West","No",NA,NA,""
"1402","Female",36,"Single","GCSE/O Level","English","White","2,600 to 5,200","South West","Yes",20,20,"Both/Mainly Packets"
"1403","Male",41,"Married","Other/Sub Degree","English","White","15,600 to 20,800","South West","No",NA,NA,""
"1404","Male",78,"Widowed","No Qualification","British","White","5,200 to 10,400","South West","Yes",15,12,"Packets"
"1405","Female",54,"Divorced","GCSE/O Level","British","White","2,600 to 5,200","South West","Yes",10,10,"Packets"
"1406","Female",72,"Divorced","No Qualification","British","White","2,600 to 5,200","South West","No",NA,NA,""
"1407","Male",28,"Married","Other/Sub Degree","English","White","20,800 to 28,600","South West","Yes",20,20,"Hand-Rolled"
"1408","Female",41,"Separated","GCSE/O Level","British","White","5,200 to 10,400","South West","Yes",20,15,"Both/Mainly Packets"
"1409","Female",78,"Married","No Qualification","English","White","Under 2,600","South West","No",NA,NA,""
"1410","Male",71,"Widowed","No Qualification","Welsh","White","5,200 to 10,400","South West","No",NA,NA,""
"1411","Female",57,"Married","Other/Sub Degree","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1412","Male",31,"Married","GCSE/O Level","British","White","15,600 to 20,800","South West","Yes",1,5,"Packets"
"1413","Female",64,"Widowed","No Qualification","Irish","White","5,200 to 10,400","South West","No",NA,NA,""
"1414","Male",65,"Married","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1415","Male",61,"Married","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1416","Male",33,"Married","GCSE/CSE","English","White","20,800 to 28,600","South West","No",NA,NA,""
"1417","Female",60,"Married","ONC/BTEC","English","White","Refused","South West","Yes",20,20,"Packets"
"1418","Male",40,"Married","Higher/Sub Degree","British","White","15,600 to 20,800","South West","No",NA,NA,""
"1419","Female",68,"Married","Other/Sub Degree","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1420","Female",36,"Married","No Qualification","English","White","15,600 to 20,800","South West","No",NA,NA,""
"1421","Female",35,"Married","GCSE/O Level","English","White","Under 2,600","South West","No",NA,NA,""
"1422","Male",22,"Single","GCSE/CSE","English","White","20,800 to 28,600","South West","Yes",20,5,"Packets"
"1423","Female",43,"Married","GCSE/CSE","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1424","Male",84,"Widowed","No Qualification","English","White","5,200 to 10,400","South West","No",NA,NA,""
"1425","Female",24,"Single","No Qualification","British","White","5,200 to 10,400","South West","No",NA,NA,""
"1426","Male",68,"Married","No Qualification","English","White","5,200 to 10,400","South West","Yes",25,12,"Hand-Rolled"
"1427","Male",35,"Single","Other/Sub Degree","British","White","Under 2,600","South West","Yes",10,10,"Packets"
"1428","Female",51,"Divorced","Other/Sub Degree","English","White","Unknown","South West","Yes",25,25,"Packets"
"1429","Male",45,"Married","ONC/BTEC","British","White","28,600 to 36,400","South West","No",NA,NA,""
"1430","Female",45,"Single","No Qualification","English","White","Refused","South West","Yes",5,5,"Packets"
"1431","Male",71,"Married","No Qualification","English","White","10,400 to 15,600","South West","No",NA,NA,""
"1432","Female",47,"Married","No Qualification","British","White","5,200 to 10,400","South West","Yes",20,15,"Packets"
"1433","Female",39,"Married","Higher/Sub Degree","British","White","10,400 to 15,600","South West","No",NA,NA,""
"1434","Male",62,"Married","Higher/Sub Degree","English","White","2,600 to 5,200","South West","No",NA,NA,""
"1435","Female",37,"Single","Degree","British","White","15,600 to 20,800","South West","No",NA,NA,""
"1436","Female",71,"Married","No Qualification","English","White","Refused","South West","No",NA,NA,""
"1437","Male",49,"Divorced","Degree","English","White","28,600 to 36,400","South West","No",NA,NA,""
"1438","Female",22,"Single","GCSE/CSE","British","White","2,600 to 5,200","South West","Yes",30,20,"Both/Mainly Packets"
"1439","Male",61,"Married","No Qualification","English","White","Under 2,600","South West","No",NA,NA,""
"1440","Male",34,"Single","GCSE/O Level","British","White","20,800 to 28,600","South West","Yes",10,5,"Packets"
"1441","Female",40,"Separated","Degree","British","White","Above 36,400","South West","No",NA,NA,""
"1442","Female",27,"Separated","No Qualification","English","White","2,600 to 5,200","South West","Yes",20,20,"Both/Mainly Packets"
"1443","Male",28,"Single","ONC/BTEC","English","White","10,400 to 15,600","South West","Yes",12,12,"Packets"
